"","subject","condition","probe","lower","median","upper"
"1",1,"Full","bottom",0.111579673461774,0.146945687421599,0.181694235599345
"2",1,"Full","top",0.130311163179555,0.187990193000746,0.240145247221468
"3",1,"Top","bottom",-0.0900412971656061,-0.0269838334799421,0.027434858201883
"4",1,"Top","top",0.148467369347729,0.192069374928649,0.244377903545655
"5",1,"Bottom","bottom",0.116672094280685,0.148815611021319,0.178803123946093
"6",1,"Bottom","top",0.0299438618347923,0.0698104158236332,0.110650088468891
"7",1,"Control","bottom",-0.125719924550065,-0.0805506591612483,-0.042628129306072
"8",1,"Control","top",-0.0105686637013951,0.0401063296076103,0.0814412612160111
"9",2,"Full","bottom",0.310785323903192,0.334542633853032,0.361411724736119
"10",2,"Full","top",0.344097586716163,0.367928134706652,0.390283452318783
"11",2,"Top","bottom",0.126147787622849,0.150802969051973,0.174047498265501
"12",2,"Top","top",0.310037876215017,0.330605249846599,0.351478944267555
"13",2,"Bottom","bottom",0.276868478983527,0.300821110708098,0.325529654618064
"14",2,"Bottom","top",0.111674626814741,0.13443573125205,0.157135796878955
"15",2,"Control","bottom",0.0147847922550679,0.0312986157110701,0.0484183342038612
"16",2,"Control","top",0.00745114708316565,0.0266155708120341,0.0459908599145792
"17",3,"Full","bottom",0.174004781300068,0.240905203684798,0.286884966201444
"18",3,"Full","top",0.276019837673377,0.308523373634501,0.343609553365294
"19",3,"Top","bottom",0.0244065719217674,0.0527763811551354,0.0810247720759614
"20",3,"Top","top",0.194324490618714,0.238461927921114,0.277177315710993
"21",3,"Bottom","bottom",0.150115422557473,0.192210647351318,0.224096722713311
"22",3,"Bottom","top",0.130607650257763,0.162529766280221,0.190624577992445
"23",3,"Control","bottom",-0.0286313466317776,-0.00792271874566586,0.0129700812647569
"24",3,"Control","top",0.0321681284979374,0.0554204103769224,0.0796004500875983
"25",4,"Full","bottom",0.389047933990408,0.426838068957818,0.45664746537758
"26",4,"Full","top",0.401108029723015,0.436318259323878,0.459622062286133
"27",4,"Top","bottom",0.0902151308748064,0.104014541767959,0.117210455096682
"28",4,"Top","top",0.403859514208525,0.426775128111428,0.448671212943567
"29",4,"Bottom","bottom",0.487991295744072,0.507626340914683,0.526168348798933
"30",4,"Bottom","top",0.0945330041857925,0.109321112647112,0.12446684626055
"31",4,"Control","bottom",-0.0372926547220353,-0.0202144826814996,-0.00354892447646754
"32",4,"Control","top",0.00403855172062768,0.0213253443157497,0.0393255928687917
"33",5,"Full","bottom",0.307298151983877,0.345251059122791,0.389078277155025
"34",5,"Full","top",0.307917792008422,0.348264460715982,0.407142778152573
"35",5,"Top","bottom",0.0867121401901913,0.112795297769576,0.140849205022576
"36",5,"Top","top",0.300591887370096,0.333864600875004,0.367950143042125
"37",5,"Bottom","bottom",0.306227576678957,0.337174674658763,0.374613822639448
"38",5,"Bottom","top",0.094015196072969,0.123772719581224,0.156960546893322
"39",5,"Control","bottom",0.00052732990241335,0.0320391690624564,0.0618454360985252
"40",5,"Control","top",-0.0120779192485653,0.0151904600582218,0.0437744081454266
"41",6,"Full","bottom",0.217769093965433,0.247913128940464,0.275702291704623
"42",6,"Full","top",0.28905700894597,0.312568944540712,0.335644725176456
"43",6,"Top","bottom",-0.0196158111043026,0.0119896122311648,0.0430543500777258
"44",6,"Top","top",0.28675409728209,0.30745561947722,0.326346222780507
"45",6,"Bottom","bottom",0.218286037865281,0.253426581824458,0.28422236666271
"46",6,"Bottom","top",0.0650496001119401,0.095258554073109,0.121865302147093
"47",6,"Control","bottom",-0.0459704880881377,-0.0230157770724639,-0.00173652909134759
"48",6,"Control","top",0.000998697361957891,0.0253700469324838,0.0480085971133302
